Dataset,Model,Metric,Count,Mean,Std,Min,Q25,Median,Q75,Max
XSUM,FlanT5,EHI_before,200,0.30678859621200405,0.19872558879653807,0.0,0.09524430459340408,0.35995813120101106,0.4715205172790228,0.5863977148306395
XSUM,FlanT5,EHI_after,200,0.1264818300052695,0.16747879229596968,0.0,0.0,0.0,0.32611614623609547,0.4439877345659368
XSUM,FlanT5,EF1_before,200,0.31115097402597397,0.3790226534346427,0.0,0.0,0.0,0.6666666666666666,1.0
XSUM,FlanT5,EF1_after,200,0.07232949428577438,0.20421993422210263,0.0,0.0,0.0,0.0,1.0
XSUM,FlanT5,PH_before,200,0.29503986291486295,0.3696771562098936,0.0,0.0,0.0,0.6666666666666666,1.0
XSUM,FlanT5,PH_after,200,0.030428159061858515,0.07322562752591891,0.0,0.0,0.0,0.0,0.4
XSUM,FlanT5,OF_before,200,0.07040497589214664,0.14924335972289304,0.0,0.0,0.0,0.07048872180451127,0.9166666666666666
XSUM,FlanT5,OF_after,200,0.24036745900578957,0.35333737001140514,0.0,0.0,0.0,0.5461876832844574,1.0
XSUM,FlanT5,LF_before,200,0.34307954545454544,0.7536023930094776,0.0,0.0,0.0,0.3333333333333333,5.0
XSUM,FlanT5,LF_after,200,0.023871936972556167,0.15989710118760508,0.0,0.0,0.0,0.0,2.0
XSUM,FlanT5,NH_before,200,0.11837499999999998,0.2679698807577072,0.0,0.0,0.0,0.0,1.0
XSUM,FlanT5,NH_after,200,0.020562499999999997,0.14038430685731593,0.0,0.0,0.0,0.0,1.0
XSUM,FlanT5,EF_before,200,0.048028331848980435,0.08237474895535365,0.0,0.0,0.0,0.09199134199134198,0.42857142857142855
XSUM,FlanT5,EF_after,200,0.017669627446889987,0.04447712266997594,0.0,0.0,0.0,0.0,0.24
XSUM,FlanT5,ROUGE1_before,200,0.39595930905083226,0.32772925515846213,0.0,0.14388736263736263,0.26086956521739135,0.6502906976744186,1.0
XSUM,FlanT5,ROUGE1_after,200,0.08891835373532216,0.08008075639712635,0.0,0.0,0.0824829931972789,0.13485984354628422,0.3529411764705882
XSUM,FlanT5,ROUGE2_before,200,0.2658478902599159,0.36537621083818944,0.0,0.0,0.059964047252182844,0.4945887445887446,1.0
XSUM,FlanT5,ROUGE2_after,200,0.021264964431352472,0.038006398484308986,0.0,0.0,0.0,0.02881265387652715,0.2
XSUM,FlanT5,ROUGEL_before,200,0.35562611704554753,0.33520178663140465,0.0,0.11680672268907563,0.20000000000000004,0.5454545454545454,1.0
XSUM,FlanT5,ROUGEL_after,200,0.06930452868129965,0.06519355011405348,0.0,0.0,0.06896551724137931,0.1032814238042269,0.3529411764705882
XSUM,DistilBART,EF_before,200,0.029969315619757967,0.052624868736664075,0.0,0.0,0.0,0.04041666666666667,0.3333333333333333
XSUM,DistilBART,EF_after,200,0.030789119298471775,0.056707663719230986,0.0,0.0,0.0,0.04,0.3333333333333333
XSUM,DistilBART,PH_before,200,0.10352116402116401,0.12435908800630491,0.0,0.0,0.0,0.1984126984126984,0.4444444444444444
XSUM,DistilBART,PH_after,200,0.09992989417989417,0.12425818238393693,0.0,0.0,0.0,0.19047619047619047,0.5
XSUM,DistilBART,OF_before,200,0.18102928031900042,0.17479047500079906,0.0,0.06666666666666667,0.12698412698412698,0.2516025641025641,1.0
XSUM,DistilBART,OF_after,200,0.19386727155530814,0.17708463820157475,0.0,0.08089418369792202,0.14285714285714285,0.2694444444444445,1.0
XSUM,DistilBART,NH_before,200,0.10104166666666668,0.17316801356007538,0.0,0.0,0.0,0.16666666666666674,1.0
XSUM,DistilBART,NH_after,200,0.10031944444444445,0.16527221825782312,0.0,0.0,0.0,0.16666666666666674,1.0
XSUM,DistilBART,LF_before,200,0.15238888888888888,0.2761541100536704,-3.700743415417188e-17,0.0,0.0,0.16666666666666666,1.3333333333333333
XSUM,DistilBART,LF_after,200,0.13880555555555557,0.22032655823524336,-3.700743415417188e-17,0.0,0.0,0.16666666666666666,1.3333333333333333
XSUM,DistilBART,EF1_before,200,0.10352116402116401,0.12435908800630491,0.0,0.0,0.0,0.19841269841269843,0.4444444444444444
