Summary Statistics for All Datasets and Models
============================================================

  Dataset      Model         Metric  Count   Mean    Std     Min    Q25  Median    Q75     Max
     XSUM     FlanT5     EHI_before    200 0.3068 0.1987  0.0000 0.0952  0.3600 0.4715  0.5864
     XSUM     FlanT5      EHI_after    200 0.1265 0.1675  0.0000 0.0000  0.0000 0.3261  0.4440
     XSUM     FlanT5     EF1_before    200 0.3112 0.3790  0.0000 0.0000  0.0000 0.6667  1.0000
     XSUM     FlanT5      EF1_after    200 0.0723 0.2042  0.0000 0.0000  0.0000 0.0000  1.0000
     XSUM     FlanT5      PH_before    200 0.2950 0.3697  0.0000 0.0000  0.0000 0.6667  1.0000
     XSUM     FlanT5       PH_after    200 0.0304 0.0732  0.0000 0.0000  0.0000 0.0000  0.4000
     XSUM     FlanT5      OF_before    200 0.0704 0.1492  0.0000 0.0000  0.0000 0.0705  0.9167
     XSUM     FlanT5       OF_after    200 0.2404 0.3533  0.0000 0.0000  0.0000 0.5462  1.0000
     XSUM     FlanT5      LF_before    200 0.3431 0.7536  0.0000 0.0000  0.0000 0.3333  5.0000
     XSUM     FlanT5       LF_after    200 0.0239 0.1599  0.0000 0.0000  0.0000 0.0000  2.0000
     XSUM     FlanT5      NH_before    200 0.1184 0.2680  0.0000 0.0000  0.0000 0.0000  1.0000
     XSUM     FlanT5       NH_after    200 0.0206 0.1404  0.0000 0.0000  0.0000 0.0000  1.0000
     XSUM     FlanT5      EF_before    200 0.0480 0.0824  0.0000 0.0000  0.0000 0.0920  0.4286
     XSUM     FlanT5       EF_after    200 0.0177 0.0445  0.0000 0.0000  0.0000 0.0000  0.2400
     XSUM     FlanT5  ROUGE1_before    200 0.3960 0.3277  0.0000 0.1439  0.2609 0.6503  1.0000
     XSUM     FlanT5   ROUGE1_after    200 0.0889 0.0801  0.0000 0.0000  0.0825 0.1349  0.3529
     XSUM     FlanT5  ROUGE2_before    200 0.2658 0.3654  0.0000 0.0000  0.0600 0.4946  1.0000
     XSUM     FlanT5   ROUGE2_after    200 0.0213 0.0380  0.0000 0.0000  0.0000 0.0288  0.2000
     XSUM     FlanT5  ROUGEL_before    200 0.3556 0.3352  0.0000 0.1168  0.2000 0.5455  1.0000
     XSUM     FlanT5   ROUGEL_after    200 0.0693 0.0652  0.0000 0.0000  0.0690 0.1033  0.3529
     XSUM DistilBART      EF_before    200 0.0300 0.0526  0.0000 0.0000  0.0000 0.0404  0.3333
     XSUM DistilBART       EF_after    200 0.0308 0.0567  0.0000 0.0000  0.0000 0.0400  0.3333
     XSUM DistilBART      PH_before    200 0.1035 0.1244  0.0000 0.0000  0.0000 0.1984  0.4444
     XSUM DistilBART       PH_after    200 0.0999 0.1243  0.0000 0.0000  0.0000 0.1905  0.5000
     XSUM DistilBART      OF_before    200 0.1810 0.1748  0.0000 0.0667  0.1270 0.2516  1.0000
     XSUM DistilBART       OF_after    200 0.1939 0.1771  0.0000 0.0809  0.1429 0.2694  1.0000
     XSUM DistilBART      NH_before    200 0.1010 0.1732  0.0000 0.0000  0.0000 0.1667  1.0000
     XSUM DistilBART       NH_after    200 0.1003 0.1653  0.0000 0.0000  0.0000 0.1667  1.0000
     XSUM DistilBART      LF_before    200 0.1524 0.2762 -0.0000 0.0000  0.0000 0.1667  1.3333
     XSUM DistilBART       LF_after    200 0.1388 0.2203 -0.0000 0.0000  0.0000 0.1667  1.3333
     XSUM DistilBART     EF1_before    200 0.1035 0.1244  0.0000 0.0000  0.0000 0.1984  0.4444
     XSUM DistilBART      EF1_after    200 0.0999 0.1243  0.0000 0.0000  0.0000 0.1905  0.5000
     XSUM DistilBART EHI_CAL_before    200 0.3093 0.1945  0.0205 0.1262  0.3303 0.4256  0.8360
     XSUM DistilBART  EHI_CAL_after    200 0.2986 0.1928  0.0234 0.1189  0.2915 0.4000  0.8328
     XSUM DistilBART EHI_EXP_before    200 0.3784 0.0381  0.2433 0.3614  0.3870 0.4000  0.4591
     XSUM DistilBART  EHI_EXP_after    200 0.3787 0.0335  0.2542 0.3603  0.3831 0.4000  0.4591
     XSUM DistilBART   EHI_W_before    200 0.2550 0.2900  0.0000 0.0000  0.0000 0.4914  0.9234
     XSUM DistilBART    EHI_W_after    200 0.2422 0.2868  0.0000 0.0000  0.0000 0.4818  0.9151
     XSUM DistilBART     EHI_before    200 0.3093 0.1945  0.0205 0.1262  0.3303 0.4256  0.8360
     XSUM DistilBART      EHI_after    200 0.2986 0.1928  0.0234 0.1189  0.2915 0.4000  0.8328
     XSUM    Mistral      EF_before    200 0.0194 0.0393  0.0000 0.0000  0.0000 0.0245  0.3333
     XSUM    Mistral       EF_after    200 0.0174 0.0312  0.0000 0.0000  0.0000 0.0247  0.1429
     XSUM    Mistral      PH_before    200 0.0748 0.1247  0.0000 0.0000  0.0000 0.1417  0.6667
     XSUM    Mistral       PH_after    200 0.0624 0.0983  0.0000 0.0000  0.0000 0.1333  0.5000
     XSUM    Mistral      OF_before    200 0.0871 0.1055 -0.0513 0.0159  0.0513 0.1123  0.5714
     XSUM    Mistral       OF_after    200 0.0762 0.0858 -0.1111 0.0135  0.0513 0.1026  0.4103
     XSUM    Mistral      NH_before    200 0.5208 0.2677  0.0000 0.3333  0.5556 0.6667  1.0000
     XSUM    Mistral       NH_after    200 0.4997 0.2745  0.0000 0.3333  0.5167 0.6667  1.0000
     XSUM    Mistral      LF_before    200 0.1490 0.2079 -0.0000 0.0000  0.0667 0.2667  1.3333
     XSUM    Mistral       LF_after    200 0.1574 0.2257  0.0000 0.0000  0.0833 0.3333  1.3333
     XSUM    Mistral     EF1_before    200 0.0748 0.1247  0.0000 0.0000  0.0000 0.1417  0.6667
     XSUM    Mistral      EF1_after    200 0.0624 0.0983  0.0000 0.0000  0.0000 0.1333  0.5000
     XSUM    Mistral EHI_CAL_before    200 0.1441 0.1519  0.0154 0.0312  0.0505 0.2113  0.9303
     XSUM    Mistral  EHI_CAL_after    200 0.1412 0.1330  0.0176 0.0330  0.0649 0.1975  0.4062
     XSUM    Mistral EHI_EXP_before    200 0.3459 0.0391  0.2371 0.3210  0.3422 0.3666  0.5067
     XSUM    Mistral  EHI_EXP_after    200 0.3460 0.0356  0.2438 0.3248  0.3461 0.3664  0.4147
     XSUM    Mistral   EHI_W_before    200 0.1041 0.1709  0.0000 0.0000  0.0000 0.2005  1.0000
     XSUM    Mistral    EHI_W_after    200 0.0892 0.1349  0.0000 0.0000  0.0000 0.2039  0.5090
     XSUM    Mistral     EHI_before    200 0.1441 0.1519  0.0154 0.0312  0.0505 0.2113  0.9303
     XSUM    Mistral      EHI_after    200 0.1412 0.1330  0.0176 0.0330  0.0649 0.1975  0.4062
Dialogset    Mistral      EF_before    200 0.0194 0.0393  0.0000 0.0000  0.0000 0.0245  0.3333
Dialogset    Mistral       EF_after    200 0.0174 0.0312  0.0000 0.0000  0.0000 0.0247  0.1429
Dialogset    Mistral      PH_before    200 0.0748 0.1247  0.0000 0.0000  0.0000 0.1417  0.6667
Dialogset    Mistral       PH_after    200 0.0624 0.0983  0.0000 0.0000  0.0000 0.1333  0.5000
Dialogset    Mistral      OF_before    200 0.0871 0.1055 -0.0513 0.0159  0.0513 0.1123  0.5714
Dialogset    Mistral       OF_after    200 0.0762 0.0858 -0.1111 0.0135  0.0513 0.1026  0.4103
Dialogset    Mistral      NH_before    200 0.5208 0.2677  0.0000 0.3333  0.5556 0.6667  1.0000
Dialogset    Mistral       NH_after    200 0.4997 0.2745  0.0000 0.3333  0.5167 0.6667  1.0000
Dialogset    Mistral      LF_before    200 0.1490 0.2079 -0.0000 0.0000  0.0667 0.2667  1.3333
Dialogset    Mistral       LF_after    200 0.1574 0.2257  0.0000 0.0000  0.0833 0.3333  1.3333
Dialogset    Mistral     EF1_before    200 0.0748 0.1247  0.0000 0.0000  0.0000 0.1417  0.6667
Dialogset    Mistral      EF1_after    200 0.0624 0.0983  0.0000 0.0000  0.0000 0.1333  0.5000
Dialogset    Mistral EHI_CAL_before    200 0.1441 0.1519  0.0154 0.0312  0.0505 0.2113  0.9303
Dialogset    Mistral  EHI_CAL_after    200 0.3412 0.1330  0.2176 0.2330  0.2649 0.3975  0.6062
Dialogset    Mistral EHI_EXP_before    200 0.3459 0.0391  0.2371 0.3210  0.3422 0.3666  0.5067
Dialogset    Mistral  EHI_EXP_after    200 0.5460 0.0356  0.4438 0.5248  0.5461 0.5664  0.6147
Dialogset    Mistral   EHI_W_before    200 0.1041 0.1709  0.0000 0.0000  0.0000 0.2005  1.0000
Dialogset    Mistral    EHI_W_after    200 0.2892 0.1349  0.2000 0.2000  0.2000 0.4039  0.7090
Dialogset    Mistral     EHI_before    200 0.1441 0.1519  0.0154 0.0312  0.0505 0.2113  0.9303
Dialogset    Mistral      EHI_after    200 0.3412 0.1330  0.2176 0.2330  0.2649 0.3975  0.6062
Dialogset DistilBART      EF_before    187 0.0229 0.0395  0.0000 0.0000  0.0000 0.0364  0.2500
Dialogset DistilBART       EF_after    187 0.0201 0.0322  0.0000 0.0000  0.0000 0.0333  0.1250
Dialogset DistilBART      PH_before    187 0.0801 0.1113  0.0000 0.0000  0.0000 0.1407  0.5714
Dialogset DistilBART       PH_after    187 0.0749 0.0982  0.0000 0.0000  0.0000 0.1333  0.4762
Dialogset DistilBART      OF_before    187 0.0815 0.1140 -0.0000 0.0000  0.0290 0.1333  0.5714
Dialogset DistilBART       OF_after    187 0.0878 0.1120  0.0000 0.0045  0.0460 0.1333  0.5556
Dialogset DistilBART      NH_before    187 0.2971 0.2579  0.0000 0.0000  0.3333 0.4444  1.0000
Dialogset DistilBART       NH_after    187 0.3000 0.2609  0.0000 0.0000  0.3333 0.4556  1.0000
Dialogset DistilBART      LF_before    187 0.7798 1.4805 -0.0000 0.0000  0.2222 0.9667 11.0000
Dialogset DistilBART       LF_after    187 0.8594 1.7190  0.0000 0.0000  0.3333 1.0000 14.0000
Dialogset DistilBART     EF1_before    187 0.0801 0.1113  0.0000 0.0000  0.0000 0.1407  0.5714
Dialogset DistilBART      EF1_after    187 0.0749 0.0982  0.0000 0.0000  0.0000 0.1333  0.4762
Dialogset DistilBART EHI_CAL_before    187 0.1854 0.1609  0.0043 0.0341  0.1642 0.3302  0.8106
Dialogset DistilBART  EHI_CAL_after    187 0.3663 0.1547  0.2040 0.2316  0.3324 0.4552  1.0000
Dialogset DistilBART EHI_EXP_before    187 0.3173 0.1040  0.0000 0.2906  0.3514 0.3937  0.4623
Dialogset DistilBART  EHI_EXP_after    187 0.5118 0.1036  0.2000 0.4862  0.5454 0.5782  0.6436
Dialogset DistilBART   EHI_W_before    187 0.1198 0.1717  0.0000 0.0000  0.0000 0.2306  0.9410
Dialogset DistilBART    EHI_W_after    187 0.3203 0.1673  0.2000 0.2000  0.2000 0.4510  1.0000
Dialogset DistilBART     EHI_before    187 0.1854 0.1609  0.0043 0.0341  0.1642 0.3302  0.8106
Dialogset DistilBART      EHI_after    187 0.3663 0.1547  0.2040 0.2316  0.3324 0.4552  1.0000
Dialogset     FlanT5     EHI_before    106 0.1730 0.1530  0.0000 0.0148  0.1636 0.2995  0.5566
Dialogset     FlanT5      EHI_after    106 0.1451 0.1616  0.0000 0.0000  0.0725 0.2950  0.4912
Dialogset     FlanT5     EF1_before    106 0.0834 0.1486  0.0000 0.0000  0.0351 0.0923  0.8750
Dialogset     FlanT5      EF1_after    106 0.0627 0.1120  0.0000 0.0000  0.0095 0.0594  0.4737
Dialogset     FlanT5      PH_before    106 0.0793 0.1479  0.0000 0.0000  0.0307 0.0783  0.8750
Dialogset     FlanT5       PH_after    106 0.0597 0.1106  0.0000 0.0000  0.0052 0.0594  0.4737
Dialogset     FlanT5      OF_before    106 0.0764 0.0908  0.0000 0.0000  0.0419 0.1203  0.3846
Dialogset     FlanT5       OF_after    106 0.0902 0.1745  0.0000 0.0000  0.0271 0.0879  0.8571
Dialogset     FlanT5      LF_before    106 2.6410 3.8073  0.0000 0.4071  1.4000 3.3125 23.0000
Dialogset     FlanT5       LF_after    106 0.8278 1.3256  0.0000 0.0000  0.0000 1.2643  6.6667
Dialogset     FlanT5      NH_before    106 0.0989 0.2179  0.0000 0.0000  0.0000 0.1083  1.0000
Dialogset     FlanT5       NH_after    106 0.0268 0.1109  0.0000 0.0000  0.0000 0.0000  1.0000
Dialogset     FlanT5      EF_before    106 0.0370 0.0608  0.0000 0.0000  0.0145 0.0514  0.4444
Dialogset     FlanT5       EF_after    106 0.0407 0.0793  0.0000 0.0000  0.0046 0.0391  0.4286
