Base_Metric,Category,DistilBART,FlanT5,Mistral
EF,After,0.020124676156795546,0.04072699930640056,0.017382558630785697
EF,Before,0.022865052916323354,0.03699199498409081,0.01937561102656634
EF1,After,0.0749483483771434,0.06268156600029773,0.062400793650793644
EF1,Before,0.08009953866635248,0.08335795003910887,0.07481349206349205
EHI,After,0.3662519674202477,0.14514958712960635,0.34119580547975287
EHI,Before,0.18536378043629229,0.17303031473954528,0.1440757404241595
EHI_CAL,After,0.3662519674202477,,0.34119580547975287
EHI_CAL,Before,0.18536378043629229,,0.1440757404241595
EHI_EXP,After,0.5117681837984208,,0.545966834226395
EHI_EXP,Before,0.3172898721851686,,0.34593534464500275
EHI_W,After,0.3202959709662397,,0.28923480430265974
EHI_W,Before,0.11975284943855122,,0.10410765135654433
LF,After,0.8594134623546387,0.8278005799232213,0.1573670634920635
LF,Before,0.7798276886512181,2.641013912712026,0.1490138888888889
NH,After,0.2999618029029794,0.026814914645103324,0.499670634920635
NH,Before,0.2970715558950853,0.0989143456124588,0.5207579365079366
OF,After,0.08776821672754541,0.09017115867992218,0.0762185011933963
OF,Before,0.08147921102742255,0.07640040835581242,0.08713007139982333
PH,After,0.0749483483771434,0.05974578639070462,0.062400793650793644
PH,Before,0.08009953866635248,0.0792776632724889,0.07481349206349205
ROUGE1,After,,0.11029945707026742,
ROUGE1,Before,,0.1597810711699384,
ROUGE2,After,,0.0491008400099499,
ROUGE2,Before,,0.07869122189576044,
ROUGEL,After,,0.0858594996633627,
ROUGEL,Before,,0.12629765268159804,
