Dataset,Model,Metric,Base_Metric,Category,Count,Mean,Std,CV,Skewness,Kurtosis,Min,Q25,Median,Q75,Max,IQR,Range
XSUM,FlanT5,EHI_before,EHI,Before,200,0.30678859621200405,0.19872558879653807,0.6477606770598806,-0.4825531847441135,-1.1354469958118933,0.0,0.09524430459340408,0.35995813120101106,0.4715205172790228,0.5863977148306395,0.3762762126856187,0.5863977148306395
XSUM,FlanT5,EHI_after,EHI,After,200,0.1264818300052695,0.16747879229596968,1.3241332157274461,0.610319035094293,-1.5625682819661688,0.0,0.0,0.0,0.32611614623609547,0.4439877345659368,0.32611614623609547,0.4439877345659368
XSUM,FlanT5,EF1_before,EF1,Before,200,0.31115097402597397,0.3790226534346427,1.218131020226223,0.7046204517200568,-1.1245868282449254,0.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0
XSUM,FlanT5,EF1_after,EF1,After,200,0.07232949428577438,0.20421993422210263,2.8234669167632793,3.8476056382385955,14.699981430267954,0.0,0.0,0.0,0.0,1.0,0.0,1.0
XSUM,FlanT5,PH_before,PH,Before,200,0.29503986291486295,0.3696771562098936,1.2529735899333985,0.7691079962425635,-1.0037551964585552,0.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0
XSUM,FlanT5,PH_after,PH,After,200,0.030428159061858515,0.07322562752591891,2.4065086348817837,2.6112556581593696,6.701238132279017,0.0,0.0,0.0,0.0,0.4,0.0,0.4
XSUM,FlanT5,OF_before,OF,Before,200,0.07040497589214664,0.14924335972289304,2.1197842600147876,3.30646862600713,12.41723245239318,0.0,0.0,0.0,0.07048872180451127,0.9166666666666666,0.07048872180451127,0.9166666666666666
XSUM,FlanT5,OF_after,OF,After,200,0.24036745900578957,0.35333737001140514,1.4699883731054233,1.009425111755838,-0.625151046930434,0.0,0.0,0.0,0.5461876832844574,1.0,0.5461876832844574,1.0
XSUM,FlanT5,LF_before,LF,Before,200,0.34307954545454544,0.7536023930094776,2.1965821133726617,3.214203367599692,12.158065462923112,0.0,0.0,0.0,0.3333333333333333,5.0,0.3333333333333333,5.0
XSUM,FlanT5,LF_after,LF,After,200,0.023871936972556167,0.15989710118760508,6.69812011364755,10.757672043405602,124.99888401132182,0.0,0.0,0.0,0.0,2.0,0.0,2.0
XSUM,FlanT5,NH_before,NH,Before,200,0.11837499999999998,0.2679698807577072,2.263737113053493,2.3854058750114753,4.740397913610602,0.0,0.0,0.0,0.0,1.0,0.0,1.0
XSUM,FlanT5,NH_after,NH,After,200,0.020562499999999997,0.14038430685731593,6.8272003334864895,6.892277344010835,46.03810368571705,0.0,0.0,0.0,0.0,1.0,0.0,1.0
XSUM,FlanT5,EF_before,EF,Before,200,0.048028331848980435,0.08237474895535365,1.7151282541807111,2.012565633734749,4.395835600474693,0.0,0.0,0.0,0.09199134199134198,0.42857142857142855,0.09199134199134198,0.42857142857142855
XSUM,FlanT5,EF_after,EF,After,200,0.017669627446889987,0.04447712266997594,2.517151128605392,2.8435501805542374,7.931767763756553,0.0,0.0,0.0,0.0,0.24,0.0,0.24
XSUM,FlanT5,ROUGE1_before,ROUGE1,Before,200,0.39595930905083226,0.32772925515846213,0.8276841778112838,0.8202648487624343,-0.8173498107738437,0.0,0.14388736263736263,0.26086956521739135,0.6502906976744186,1.0,0.506403335037056,1.0
XSUM,FlanT5,ROUGE1_after,ROUGE1,After,200,0.08891835373532216,0.08008075639712635,0.9006099757030799,0.6920427151578323,0.06546482030619893,0.0,0.0,0.0824829931972789,0.13485984354628422,0.3529411764705882,0.13485984354628422,0.3529411764705882
XSUM,FlanT5,ROUGE2_before,ROUGE2,Before,200,0.2658478902599159,0.36537621083818944,1.3743807050000136,1.1426081636097523,-0.40036027240814853,0.0,0.0,0.059964047252182844,0.4945887445887446,1.0,0.4945887445887446,1.0
XSUM,FlanT5,ROUGE2_after,ROUGE2,After,200,0.021264964431352472,0.038006398484308986,1.7872777829937683,2.2677097863025035,5.329366490800228,0.0,0.0,0.0,0.02881265387652715,0.2,0.02881265387652715,0.2
XSUM,FlanT5,ROUGEL_before,ROUGEL,Before,200,0.35562611704554753,0.33520178663140465,0.9425679683375814,0.9974066639085668,-0.5881721384869505,0.0,0.11680672268907563,0.20000000000000004,0.5454545454545454,1.0,0.42864782276546975,1.0
XSUM,FlanT5,ROUGEL_after,ROUGEL,After,200,0.06930452868129965,0.06519355011405348,0.9406823962954758,1.2419113425368011,2.523230945681691,0.0,0.0,0.06896551724137931,0.1032814238042269,0.3529411764705882,0.1032814238042269,0.3529411764705882
XSUM,DistilBART,EF_before,EF,Before,200,0.029969315619757967,0.052624868736664075,1.7559583076354905,3.0766263671647422,11.534199660225898,0.0,0.0,0.0,0.04041666666666667,0.3333333333333333,0.04041666666666667,0.3333333333333333
XSUM,DistilBART,EF_after,EF,After,200,0.030789119298471775,0.056707663719230986,1.8418085678093976,3.12738657869258,11.571330585825084,0.0,0.0,0.0,0.04,0.3333333333333333,0.04,0.3333333333333333
XSUM,DistilBART,PH_before,PH,Before,200,0.10352116402116401,0.12435908800630491,1.2012914381534654,0.9265496481875879,-0.03577855695748644,0.0,0.0,0.0,0.1984126984126984,0.4444444444444444,0.1984126984126984,0.4444444444444444
XSUM,DistilBART,PH_after,PH,After,200,0.09992989417989417,0.12425818238393693,1.2434535571532466,0.9646426573175985,-0.025752602648366096,0.0,0.0,0.0,0.19047619047619047,0.5,0.19047619047619047,0.5
XSUM,DistilBART,OF_before,OF,Before,200,0.18102928031900042,0.17479047500079906,0.9655370373941294,2.073897432150316,5.946273939098039,0.0,0.06666666666666667,0.12698412698412698,0.2516025641025641,1.0,0.18493589743589745,1.0
XSUM,DistilBART,OF_after,OF,After,200,0.19386727155530814,0.17708463820157475,0.9134323539032967,1.9434650931058648,5.116510867425348,0.0,0.08089418369792202,0.14285714285714285,0.2694444444444445,1.0,0.18855026074652248,1.0
XSUM,DistilBART,NH_before,NH,Before,200,0.10104166666666668,0.17316801356007538,1.713827763068787,2.445660330053589,7.6118004891274635,0.0,0.0,0.0,0.16666666666666674,1.0,0.16666666666666674,1.0
XSUM,DistilBART,NH_after,NH,After,200,0.10031944444444445,0.16527221825782312,1.647459464843315,2.247902998414685,6.4463968023952605,0.0,0.0,0.0,0.16666666666666674,1.0,0.16666666666666674,1.0
XSUM,DistilBART,LF_before,LF,Before,200,0.15238888888888888,0.2761541100536704,1.812166963531195,2.7890999266040035,8.478972746181501,-3.700743415417188e-17,0.0,0.0,0.16666666666666666,1.3333333333333333,0.16666666666666666,1.3333333333333333
XSUM,DistilBART,LF_after,LF,After,200,0.13880555555555557,0.22032655823524336,1.5873036014546247,2.4810345969780747,8.238764455557032,-3.700743415417188e-17,0.0,0.0,0.16666666666666666,1.3333333333333333,0.16666666666666666,1.3333333333333333
XSUM,DistilBART,EF1_before,EF1,Before,200,0.10352116402116401,0.12435908800630491,1.2012914381534654,0.9265496481875879,-0.03577855695748644,0.0,0.0,0.0,0.19841269841269843,0.4444444444444444,0.19841269841269843,0.4444444444444444
XSUM,DistilBART,EF1_after,EF1,After,200,0.09992989417989417,0.12425818238393693,1.2434535571532466,0.9646426573175985,-0.025752602648366096,0.0,0.0,0.0,0.1904761904761905,0.5,0.1904761904761905,0.5
XSUM,DistilBART,EHI_CAL_before,EHI_CAL,Before,200,0.30932678294452304,0.19453020626990625,0.6288825184102947,0.3590608910859351,-0.3172622465086343,0.020532319391634978,0.12615442489253287,0.3303153988868274,0.42564623252231143,0.8360311704343797,0.29949180762977856,0.8154988510427447
XSUM,DistilBART,EHI_CAL_after,EHI_CAL,After,200,0.29862138009754796,0.19282490764182877,0.6457170199228213,0.4524662795772059,-0.3593703026482227,0.023376623376623377,0.11885547442536228,0.2915313745825239,0.4,0.8328345519469478,0.28114452557463776,0.8094579285703244
XSUM,DistilBART,EHI_EXP_before,EHI_EXP,Before,200,0.3784260297932203,0.038098377731105054,0.10067589101078164,-0.9954240745891009,1.6097847966435301,0.243328146776419,0.3614240909422969,0.3870390927451448,0.4,0.4590906845548705,0.03857590905770314,0.2157625377784515
XSUM,DistilBART,EHI_EXP_after,EHI_EXP,After,200,0.37870860680083884,0.033474975890291976,0.08839243494641862,-0.5246339410136903,0.9276455335387648,0.25420359564420647,0.3602797080783213,0.3831364335448369,0.4,0.4590906845548705,0.039720291921678696,0.20488708891066404
XSUM,DistilBART,EHI_W_before,EHI_W,Before,200,0.2549938829918109,0.2900278628353625,1.137391452032113,0.5779582041564517,-1.101751982651114,0.0,0.0,0.0,0.4913643231690013,0.92344148742253,0.4913643231690013,0.92344148742253
XSUM,DistilBART,EHI_W_after,EHI_W,After,200,0.24219284734438523,0.2868312303165395,1.1843092538099644,0.6484242749307433,-1.0608743640548222,0.0,0.0,0.0,0.481775272374515,0.9151219512195121,0.481775272374515,0.9151219512195121
XSUM,DistilBART,EHI_before,EHI,Before,200,0.30932678294452304,0.19453020626990625,0.6288825184102947,0.3590608910859351,-0.3172622465086343,0.020532319391634978,0.12615442489253287,0.3303153988868274,0.42564623252231143,0.8360311704343797,0.29949180762977856,0.8154988510427447
XSUM,DistilBART,EHI_after,EHI,After,200,0.29862138009754796,0.19282490764182877,0.6457170199228213,0.4524662795772059,-0.3593703026482227,0.023376623376623377,0.11885547442536228,0.2915313745825239,0.4,0.8328345519469478,0.28114452557463776,0.8094579285703244
XSUM,Mistral,EF_before,EF,Before,200,0.01937561102656634,0.039282895216967685,2.0274403301710597,3.644314571981024,20.97461723377784,0.0,0.0,0.0,0.02454268292682927,0.3333333333333333,0.02454268292682927,0.3333333333333333
XSUM,Mistral,EF_after,EF,After,200,0.017382558630785697,0.03124859040158463,1.7976979721639623,2.102179865194034,4.119461945183342,0.0,0.0,0.0,0.02470293933708568,0.14285714285714285,0.02470293933708568,0.14285714285714285
XSUM,Mistral,PH_before,PH,Before,200,0.07481349206349205,0.12467214817386277,1.6664393645474684,2.021811398286171,4.84522545049189,0.0,0.0,0.0,0.14166666666666666,0.6666666666666666,0.14166666666666666,0.6666666666666666
XSUM,Mistral,PH_after,PH,After,200,0.062400793650793644,0.09833393913402301,1.575844366408509,1.6163890259668503,2.5498124463124894,0.0,0.0,0.0,0.13333333333333333,0.49999999999999994,0.13333333333333333,0.49999999999999994
XSUM,Mistral,OF_before,OF,Before,200,0.08713007139982333,0.10549694814065837,1.210798366691942,2.0801535395945865,5.11557369927563,-0.05128205128205128,0.015873015873015872,0.05128205128205128,0.11231884057971016,0.5714285714285714,0.09644582470669429,0.6227106227106227
XSUM,Mistral,OF_after,OF,After,200,0.0762185011933963,0.08583288334025367,1.1261423669623454,1.6102754965233692,2.6560460652901368,-0.1111111111111111,0.01354552430520802,0.05128205128205128,0.10256410256410256,0.41025641025641024,0.08901857825889455,0.5213675213675213
